id,section,title,visual,from_frame,to_frame,duration_frames
beat-003,看见与选择,任务一：认出没见过的图片,overview,1950,2512,562
beat-004,目标一 · 图片分类,把图片变成可计算的输入,pixels,2512,3407,895
beat-005,目标一 · 图片分类,为什么用一个小窗口？,pixels,3407,4266,859
beat-006,目标一 · 图片分类,让局部线索显出来,convolution,4266,5197,931
beat-007,目标一 · 图片分类,一个真实响应，怎样算出？,convolution,5197,5989,792
beat-008,目标一 · 图片分类,同一套权重，走遍图片,convolution,5989,6865,876
beat-009,目标一 · 图片分类,权重从哪里来？,features,6865,7765,900
beat-010,目标一 · 图片分类,六组权重，六种响应,features,7765,8627,862
beat-011,目标一 · 图片分类,把局部线索组合起来,network,8627,9481,854
beat-012,目标一 · 图片分类,加一道非线性的拐点,relu,9481,10405,924
beat-013,目标一 · 图片分类,保留强响应，缩小空间,pool,10405,11303,898
beat-014,目标一 · 图片分类,从图片到十个分数,network,11303,12208,905
beat-015,目标一 · 图片分类,把分数变成类别概率,probability,12208,13017,809
beat-016,目标一 · 图片分类,猜错之后，怎样给出反馈？,loss,13017,13869,852
beat-017,目标一 · 图片分类,沿着梯度，调整一小步,gradient,13869,14843,974
beat-018,目标一 · 图片分类,练习题与考试题分开,split,14843,15788,945
beat-019,目标一 · 图片分类,五行代码，一次真实更新,code,15788,16763,975
beat-020,目标一 · 图片分类,训练有效吗？看验证曲线,cnnchart,16763,17672,909
beat-021,目标一 · 图片分类,打开测试集，报告真实成绩,cnnresults,17672,18646,974
beat-022,目标一 · 图片分类,错在哪里？展开错误地图,confusion,18646,19678,1032
beat-023,目标一 · 图片分类,从照片看见模型的犹豫,samples,19678,20863,1185
beat-024,目标一 · 图片分类,遮住一块，概率怎样变？,occlusion,20863,21767,904
beat-025,目标一 · 图片分类,把小实验放回研究背景,paper,21767,22693,926
beat-026,目标二 · 保持平衡,任务二：让杆尽量不倒,cartpole,22693,23519,826
beat-027,目标二 · 保持平衡,四个状态，两个动作,state,23519,24434,915
beat-028,目标二 · 保持平衡,行动改变下一次观察,loop,24434,25285,851
beat-029,目标二 · 保持平衡,用奖励定义成功,reward,25285,26139,854
beat-030,目标二 · 保持平衡,眼前一分，和未来很多分,return,26139,26991,852
beat-031,目标二 · 保持平衡,Q 值：估计动作的长期结果,qvalues,26991,27932,941
beat-032,目标二 · 保持平衡,试一试，还是相信已有经验？,exploration,27932,28834,902
beat-033,目标二 · 保持平衡,用一次真实经历，构造目标,bellman,28834,29779,945
beat-034,目标二 · 保持平衡,真的失败，还是时间到了？,terminal,29779,30690,911
beat-035,目标二 · 保持平衡,把经历保存，再分散复习,replay,30690,31647,957
beat-036,目标二 · 保持平衡,让学习目标，变化慢一点,target,31647,32550,903
beat-037,目标二 · 保持平衡,让代码接上实际的变化,code,32550,33807,1257
beat-038,目标二 · 保持平衡,先测一位完全靠蒙的选手,cartcompare,33807,34668,861
beat-039,目标二 · 保持平衡,六百回合，不删掉波动,dqnchart,34668,35484,816
beat-040,目标二 · 保持平衡,控制不是静止，是不断接住偏差,cartcompare,35484,36379,895
beat-041,目标二 · 保持平衡,统一考试，再谈是否学会,dqnresults,36379,37293,914
beat-042,目标二 · 保持平衡,一场失败，揭示能力的边界,limits,37293,38196,903
beat-043,目标二 · 保持平衡,从状态数值，回到游戏画面,paper,38196,39142,946
beat-044,目标三 · 比较落子后果,任务三：落子之前，比较后果,connect,39142,39980,838
beat-045,目标三 · 比较落子后果,先有正确规则，再谈好选择,connect,39980,40835,855
beat-046,目标三 · 比较落子后果,一条分支，就是一次试下,tree,40835,41716,881
beat-047,目标三 · 比较落子后果,一次搜索，怎样走完？,mcts,41716,42547,831
beat-048,目标三 · 比较落子后果,把计算花在哪条分支上？,selection,42547,43451,904
beat-049,目标三 · 比较落子后果,把模拟真正下到结局,rollout,43451,44274,823
beat-050,目标三 · 比较落子后果,一次胜负，怎样改变统计？,backup,44274,45114,840
beat-051,目标三 · 比较落子后果,搜索更多，结果与代价如何？,searchresults,45114,46239,1125
beat-052,目标三 · 比较落子后果,回到棋盘：为什么必须防守？,connect,46239,47089,850
beat-053,把学习与搜索结合,围棋更大，需要怎样的帮助？,goboard,47089,47986,897
beat-054,把学习与搜索结合,策略网络：推荐值得看的落点,policy,47986,48878,892
beat-055,把学习与搜索结合,价值网络：估计局面有多有利,value,48878,49946,1068
beat-056,把学习与搜索结合,学习与搜索，在一次决策中配合,alphaflow,49946,50884,938
beat-057,把学习与搜索结合,2016：这些网络怎样学出来？,paper,50884,51734,850
beat-058,把学习与搜索结合,2017：自我对弈的训练循环,alphazero,51734,52651,917
beat-059,把学习与搜索结合,同样叫选择，方法并不相同,compare,52651,53494,843
beat-060,把学习与搜索结合,先读懂任务条件，再读成绩,limits,53494,54351,857
beat-061,回到问题,把三个问题，收回三个答案,overview,54351,55222,871
beat-062,回到问题,从一个可复现的小实验开始,overview,55222,56072,850
beat-063,回到问题,下一份工作：创造新的内容,next,56072,56809,737
beat-064,沿着原始研究继续阅读,LeNet · 从局部到类别,paper,56809,57532,723
beat-065,沿着原始研究继续阅读,AlexNet · 规模带来的变化,paper,57532,58197,665
beat-066,沿着原始研究继续阅读,DQN · 从画面到动作价值,paper,58197,58860,663
beat-067,沿着原始研究继续阅读,AlphaGo · 学习与搜索,paper,58860,59559,699
beat-068,沿着原始研究继续阅读,AlphaGo Zero · 自我对弈循环,paper,59559,60274,715
